Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR5071686,RNA-Seq,100,3233774100,PRJNA356065,SAMN06102552,2208490272,RKO,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391553,GSM2414792,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:55:00Z,1,GSM2414792,RKO epithelial colorectal cancer cell line,SRP094494
SRR5071687,RNA-Seq,100,3581199700,PRJNA356065,SAMN06102551,2194625040,SNU175,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391554,GSM2414793,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:55:00Z,1,GSM2414793,SNU175 epithelial colorectal cancer cell line,SRP094494
SRR5071688,RNA-Seq,100,3171577000,PRJNA356065,SAMN06102550,2223015652,SNUC2B,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391555,GSM2414794,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:53:00Z,1,GSM2414794,SNUC2B epithelial colorectal cancer cell line,SRP094494
SRR5071689,RNA-Seq,100,7185528200,PRJNA356065,SAMN06102549,4761280280,SW1116,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391556,GSM2414795,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T17:03:00Z,1,GSM2414795,SW1116 epithelial colorectal cancer cell line,SRP094494
SRR5071690,RNA-Seq,100,3732719700,PRJNA356065,SAMN06102548,2541647610,SW1222,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391557,GSM2414796,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:56:00Z,1,GSM2414796,SW1222 epithelial colorectal cancer cell line,SRP094494
SRR5071691,RNA-Seq,100,7476175800,PRJNA356065,SAMN06102547,3182814814,SW480,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391558,GSM2414797,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T17:02:00Z,1,GSM2414797,SW480 epithelial colorectal cancer cell line,SRP094494
SRR5071692,RNA-Seq,100,3359937900,PRJNA356065,SAMN06102546,2336039442,SW620,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391559,GSM2414798,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:55:00Z,1,GSM2414798,SW620 epithelial colorectal cancer cell line,SRP094494
SRR5071693,RNA-Seq,100,6133582500,PRJNA356065,SAMN06102545,4219903245,SW948,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391560,GSM2414799,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T17:00:00Z,1,GSM2414799,SW948 epithelial colorectal cancer cell line,SRP094494
SRR5071694,RNA-Seq,100,5025358000,PRJNA356065,SAMN06102544,3029137217,T84,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391561,GSM2414800,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T17:00:00Z,1,GSM2414800,T84 epithelial colorectal cancer cell line,SRP094494
SRR5071695,RNA-Seq,100,7608314600,PRJNA356065,SAMN06102543,4993195626,V9P,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391562,GSM2414801,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T17:06:00Z,1,GSM2414801,V9P epithelial colorectal cancer cell line,SRP094494
SRR5071696,RNA-Seq,100,3762888200,PRJNA356065,SAMN06102542,2584626516,VACO4S,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391563,GSM2414802,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:56:00Z,1,GSM2414802,VACO4S epithelial colorectal cancer cell line,SRP094494
SRR5071697,RNA-Seq,100,6454680700,PRJNA356065,SAMN06102541,4431630880,VACO5,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391564,GSM2414803,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T17:02:00Z,1,GSM2414803,VACO5 epithelial colorectal cancer cell line,SRP094494
